10001 4 3 1 -87 95 43 1 -87 95 43
10002 4 60 72 88 48 -59 72 88 48 -59
10003 4 81 96 -60 -97 54 96 -60 -97 54
10004 4 67 -65 64 9 21 -65 64 9 21
10005 4 64 59 22 -24 -94 59 22 -24 -94
10006 4 86 19 -48 76 88 19 -48 76 88
10007 4 83 28 -91 -76 -64 28 -91 -76 -64
10008 4 61 -4 -54 62 39 -4 -54 62 39
10009 4 17 50 84 67 -99 50 84 67 -99
10010 4 89 -92 71 46 -21 -92 71 46 -21
10011 4 17 -19 -95 28 -62 -19 -95 28 -62
10012 4 20 80 72 -13 -34 80 72 -13 -34
10013 4 19 -66 96 -70 76 -66 96 -70 76
10014 4 26 -95 -7 -93 -27 -95 -7 -93 -27
10015 4 89 70 22 94 -65 70 22 94 -65
10016 4 11 -12 87 30 -87 -12 87 30 -87
10017 4 75 29 -90 35 -46 29 -90 35 -46
10018 4 48 39 76 -34 -81 39 76 -34 -81
10019 4 51 -6 -38 -8 -27 -6 -38 -8 -27
10020 4 17 -74 90 -24 3 -74 90 -24 3
