10001 40 80 -37 91 48 93 48 -24 91 -38 -32 70 77 -79 -19 76 89 -5 -54 -11 63 40 87 -12 -54 -97 -45 69 65 -15 91 100 -32 63 -17 15 -96 -47 56 -7 -38 -22 -37 91 48 93 48 -24 91 -38 -32 70 77 -79 -19 76 89 -5 -54 -11 63 40 87 -12 -54 -97 -45 69 65 -15 91 100 -32 63 -17 15 -96 -47 56 -7 -38 -22
10002 40 68 75 30 60 -34 -15 55 -4 -81 -15 -13 -20 37 -80 66 38 -87 78 41 -43 6 -91 -88 2 -42 -74 20 25 5 19 91 28 30 -72 -70 54 84 -18 -87 -7 -54 75 30 60 -34 -15 55 -4 -81 -15 -13 -20 37 -80 66 38 -87 78 41 -43 6 -91 -88 2 -42 -74 20 25 5 19 91 28 30 -72 -70 54 84 -18 -87 -7 -54
10003 40 62 92 55 27 -66 87 -93 -22 14 -5 -65 45 47 -38 18 41 -52 -89 -57 -66 -87 -29 -92 -88 31 1 -54 42 21 -91 -100 3 72 97 93 63 31 -98 -80 66 33 92 55 27 -66 87 -93 -22 14 -5 -65 45 47 -38 18 41 -52 -89 -57 -66 -87 -29 -92 -88 31 1 -54 42 21 -91 -100 3 72 97 93 63 31 -98 -80 66 33
10004 40 86 35 -3 25 35 -73 49 -80 73 37 -92 -4 2 60 -55 -19 47 100 -6 16 100 -69 63 66 -86 -72 -76 34 54 -24 -96 -41 -34 -48 48 62 73 92 15 58 -100 35 -3 25 35 -73 49 -80 73 37 -92 -4 2 60 -55 -19 47 100 -6 16 100 -69 63 66 -86 -72 -76 34 54 -24 -96 -41 -34 -48 48 62 73 92 15 58 -100
10005 40 8 -18 53 21 -69 -42 -58 48 8 18 67 100 9 -71 -27 -44 10 -17 28 89 19 100 96 -49 -36 -49 -34 66 100 -24 -3 -4 25 -50 -52 -82 14 22 40 -7 34 -18 53 21 -69 -42 -58 48 8 18 67 100 9 -71 -27 -44 10 -17 28 89 19 100 96 -49 -36 -49 -34 66 100 -24 -3 -4 25 -50 -52 -82 14 22 40 -7 34
10006 40 37 28 21 21 66 -75 22 37 -82 -52 27 -49 32 -5 -26 84 96 79 31 -86 -3 -55 -35 -8 7 -68 75 65 87 76 -14 92 -70 -37 86 -22 -20 60 48 -66 -3 28 21 21 66 -75 22 37 -82 -52 27 -49 32 -5 -26 84 96 79 31 -86 -3 -55 -35 -8 7 -68 75 65 87 76 -14 92 -70 -37 86 -22 -20 60 48 -66 -3
10007 40 65 -36 -83 62 15 -94 -57 -94 48 -14 11 -70 37 85 -78 -78 -98 19 99 56 -47 9 22 -91 -30 14 -7 20 33 -2 64 -63 -73 -12 -30 -64 46 31 36 -10 -72 -36 -83 62 15 -94 -57 -94 48 -14 11 -70 37 85 -78 -78 -98 19 99 56 -47 9 22 -91 -30 14 -7 20 33 -2 64 -63 -73 -12 -30 -64 46 31 36 -10 -72
10008 40 3 67 21 -58 45 -66 21 -73 -78 -12 58 -8 -86 -95 22 78 57 -38 -18 57 -98 3 1 -82 38 7 -100 25 -96 35 8 7 -15 -99 45 91 20 -45 5 92 88 67 21 -58 45 -66 21 -73 -78 -12 58 -8 -86 -95 22 78 57 -38 -18 57 -98 3 1 -82 38 7 -100 25 -96 35 8 7 -15 -99 45 91 20 -45 5 92 88
10009 40 69 99 -26 -40 79 -78 -51 -41 -93 -81 92 -83 -15 24 -31 -28 -15 -67 -80 87 -52 63 -14 -53 85 -77 73 59 9 -68 -42 32 -19 14 69 -55 -78 58 4 -36 -7 99 -26 -40 79 -78 -51 -41 -93 -81 92 -83 -15 24 -31 -28 -15 -67 -80 87 -52 63 -14 -53 85 -77 73 59 9 -68 -42 32 -19 14 69 -55 -78 58 4 -36 -7
10010 40 83 -65 21 3 22 68 -3 -32 -56 -5 -9 55 -34 31 -37 -28 85 -19 -8 50 -28 54 31 -58 -97 1 56 -85 20 19 -46 -5 43 -55 8 -24 -34 72 32 -54 -63 -65 21 3 22 68 -3 -32 -56 -5 -9 55 -34 31 -37 -28 85 -19 -8 50 -28 54 31 -58 -97 1 56 -85 20 19 -46 -5 43 -55 8 -24 -34 72 32 -54 -63
10011 40 90 44 40 79 -53 -14 55 55 -6 -87 60 -64 64 -58 -52 12 -16 -63 54 -72 -49 -8 82 42 -50 -66 40 -92 37 94 -48 -86 98 -29 29 76 -40 1 -77 -36 6 44 40 79 -53 -14 55 55 -6 -87 60 -64 64 -58 -52 12 -16 -63 54 -72 -49 -8 82 42 -50 -66 40 -92 37 94 -48 -86 98 -29 29 76 -40 1 -77 -36 6
10012 40 4 100 34 60 -34 -50 88 53 -77 -39 -90 8 69 -58 -12 31 41 -45 -26 100 -61 71 96 -74 30 17 90 -27 -66 36 30 -72 96 -99 -61 46 -49 31 -6 -6 86 100 34 60 -34 -50 88 53 -77 -39 -90 8 69 -58 -12 31 41 -45 -26 100 -61 71 96 -74 30 17 90 -27 -66 36 30 -72 96 -99 -61 46 -49 31 -6 -6 86
10013 40 76 80 -25 80 28 -21 2 86 -6 -77 71 54 47 59 -32 -8 88 -61 66 -6 74 -65 -50 -86 30 -36 -96 -36 39 -2 98 71 92 -84 -1 -37 -39 -83 50 -28 88 80 -25 80 28 -21 2 86 -6 -77 71 54 47 59 -32 -8 88 -61 66 -6 74 -65 -50 -86 30 -36 -96 -36 39 -2 98 71 92 -84 -1 -37 -39 -83 50 -28 88
10014 40 89 -22 4 78 -98 41 35 44 -99 78 -66 79 57 -71 87 -17 -74 -86 -13 25 65 29 70 -46 -74 87 -81 18 72 20 -97 -88 12 16 -46 94 -85 -15 66 -12 54 -22 4 78 -98 41 35 44 -99 78 -66 79 57 -71 87 -17 -74 -86 -13 25 65 29 70 -46 -74 87 -81 18 72 20 -97 -88 12 16 -46 94 -85 -15 66 -12 54
10015 40 54 -73 -83 -9 6 55 -76 76 43 -10 25 13 -71 77 -54 -13 -67 -21 -53 -68 -70 11 -57 -75 94 12 30 -48 28 -38 29 -24 25 80 -58 75 35 87 4 25 -20 -73 -83 -9 6 55 -76 76 43 -10 25 13 -71 77 -54 -13 -67 -21 -53 -68 -70 11 -57 -75 94 12 30 -48 28 -38 29 -24 25 80 -58 75 35 87 4 25 -20
10016 40 24 -85 -73 -89 14 -98 -23 -96 15 -36 51 8 -32 -92 -99 -95 28 46 -27 41 66 -8 28 37 -50 -54 15 -44 34 4 -58 -61 87 43 54 -46 -32 29 55 -21 -55 -85 -73 -89 14 -98 -23 -96 15 -36 51 8 -32 -92 -99 -95 28 46 -27 41 66 -8 28 37 -50 -54 15 -44 34 4 -58 -61 87 43 54 -46 -32 29 55 -21 -55
10017 40 7 32 -95 82 -53 83 -39 58 -18 6 8 -73 91 -39 -62 -55 88 34 -21 -4 40 -31 89 69 24 -58 -84 68 44 74 -51 2 41 88 -79 20 40 -24 -36 16 99 32 -95 82 -53 83 -39 58 -18 6 8 -73 91 -39 -62 -55 88 34 -21 -4 40 -31 89 69 24 -58 -84 68 44 74 -51 2 41 88 -79 20 40 -24 -36 16 99
10018 40 72 -57 83 85 -86 -69 59 88 -27 22 -20 -37 -90 73 -4 53 21 96 -5 77 -32 -35 -64 82 -91 72 -97 -41 -69 -18 -24 -67 -40 -24 95 87 89 -77 26 24 -30 -57 83 85 -86 -69 59 88 -27 22 -20 -37 -90 73 -4 53 21 96 -5 77 -32 -35 -64 82 -91 72 -97 -41 -69 -18 -24 -67 -40 -24 95 87 89 -77 26 24 -30
10019 40 24 2 11 18 49 5 -52 87 67 11 60 93 -25 90 100 -15 13 -18 -74 33 -2 90 85 -56 -47 16 49 -26 2 25 -45 -26 1 -51 -28 -43 2 6 -79 84 29 2 11 18 49 5 -52 87 67 11 60 93 -25 90 100 -15 13 -18 -74 33 -2 90 85 -56 -47 16 49 -26 2 25 -45 -26 1 -51 -28 -43 2 6 -79 84 29
