10001 50 96 -12 -78 14 30 79 -73 52 17 -73 -17 -56 -34 -33 4 -63 93 -94 -91 28 -6 -100 69 83 92 -20 -83 96 1 -75 -65 -32 76 -67 -72 -17 -70 -16 81 33 10 -10 95 -11 65 -2 30 57 -93 13 62 -12 -78 14 30 79 -73 52 17 -73 -17 -56 -34 -33 4 -63 93 -94 -91 28 -6 -100 69 83 92 -20 -83 96 1 -75 -65 -32 76 -67 -72 -17 -70 -16 81 33 10 -10 95 -11 65 -2 30 57 -93 13 62
10002 50 40 -19 -56 -49 -22 -71 27 -57 -98 22 -26 34 47 -32 -61 38 28 14 -46 -98 99 -47 -31 -56 -47 -38 58 -63 61 28 -59 38 -42 -16 -32 6 97 -54 54 85 16 -22 -45 86 -79 -91 58 -93 -61 -26 -68 -19 -56 -49 -22 -71 27 -57 -98 22 -26 34 47 -32 -61 38 28 14 -46 -98 99 -47 -31 -56 -47 -38 58 -63 61 28 -59 38 -42 -16 -32 6 97 -54 54 85 16 -22 -45 86 -79 -91 58 -93 -61 -26 -68
10003 50 12 -14 -42 -58 -11 -98 64 -31 52 -10 85 13 -33 50 85 25 78 -22 -14 -39 -18 29 -19 -89 67 -31 -19 72 -16 43 45 -60 -71 -95 2 -6 20 56 94 32 60 14 20 -12 -20 100 -12 -58 -24 62 69 -14 -42 -58 -11 -98 64 -31 52 -10 85 13 -33 50 85 25 78 -22 -14 -39 -18 29 -19 -89 67 -31 -19 72 -16 43 45 -60 -71 -95 2 -6 20 56 94 32 60 14 20 -12 -20 100 -12 -58 -24 62 69
10004 50 4 66 42 38 21 -31 -68 -75 -11 11 66 -8 54 1 16 1 39 -76 -85 -24 32 93 -62 33 -57 27 -83 66 5 -54 80 -96 51 -89 -31 30 90 -74 25 -84 -92 -63 9 -57 -77 -95 -50 74 5 80 -39 66 42 38 21 -31 -68 -75 -11 11 66 -8 54 1 16 1 39 -76 -85 -24 32 93 -62 33 -57 27 -83 66 5 -54 80 -96 51 -89 -31 30 90 -74 25 -84 -92 -63 9 -57 -77 -95 -50 74 5 80 -39
10005 50 58 72 34 49 16 -32 -94 80 -36 -11 55 -93 71 -76 -40 44 37 46 66 95 25 4 -25 37 -95 82 70 -33 -63 99 23 71 89 -72 97 -17 -56 28 -33 -19 40 57 -57 -94 -77 86 94 21 -68 -70 98 72 34 49 16 -32 -94 80 -36 -11 55 -93 71 -76 -40 44 37 46 66 95 25 4 -25 37 -95 82 70 -33 -63 99 23 71 89 -72 97 -17 -56 28 -33 -19 40 57 -57 -94 -77 86 94 21 -68 -70 98
10006 50 1 -100 31 93 80 74 -78 71 23 95 -32 94 50 -48 55 -4 45 27 45 37 16 44 4 -80 41 55 -32 -81 91 58 -64 -17 19 67 -93 -28 14 -79 -81 33 -70 -60 39 -85 85 -25 -91 -45 52 -47 51 -100 31 93 80 74 -78 71 23 95 -32 94 50 -48 55 -4 45 27 45 37 16 44 4 -80 41 55 -32 -81 91 58 -64 -17 19 67 -93 -28 14 -79 -81 33 -70 -60 39 -85 85 -25 -91 -45 52 -47 51
10007 50 24 -45 -56 67 1 44 54 -19 -15 92 1 -59 22 -92 -32 16 89 -13 64 7 2 -32 -23 60 82 21 34 -5 41 51 -82 -56 94 -50 -32 -54 70 -46 -81 3 -14 44 72 -29 22 35 18 73 48 -46 -49 -45 -56 67 1 44 54 -19 -15 92 1 -59 22 -92 -32 16 89 -13 64 7 2 -32 -23 60 82 21 34 -5 41 51 -82 -56 94 -50 -32 -54 70 -46 -81 3 -14 44 72 -29 22 35 18 73 48 -46 -49
10008 50 21 73 -62 -80 -6 -8 -56 34 64 88 -3 97 63 42 -19 -82 49 90 -48 -92 -19 -57 -14 75 7 -62 19 -45 1 -90 83 -74 -69 72 64 -61 29 -82 84 -59 77 -2 -27 -16 85 1 -58 -25 -39 -52 -63 73 -62 -80 -6 -8 -56 34 64 88 -3 97 63 42 -19 -82 49 90 -48 -92 -19 -57 -14 75 7 -62 19 -45 1 -90 83 -74 -69 72 64 -61 29 -82 84 -59 77 -2 -27 -16 85 1 -58 -25 -39 -52 -63
10009 50 25 22 -65 23 85 16 -13 -55 -41 -73 -68 -94 -79 34 -1 -7 94 91 11 -76 -59 -73 -38 19 -100 98 -92 -83 51 66 -18 68 -13 -81 4 19 -42 38 -62 -92 17 6 47 17 74 65 8 44 -84 49 8 22 -65 23 85 16 -13 -55 -41 -73 -68 -94 -79 34 -1 -7 94 91 11 -76 -59 -73 -38 19 -100 98 -92 -83 51 66 -18 68 -13 -81 4 19 -42 38 -62 -92 17 6 47 17 74 65 8 44 -84 49 8
10010 50 25 -61 -68 15 7 -43 -64 48 -17 -71 -71 -22 -73 58 10 32 -13 -46 38 -21 53 -12 -88 13 -85 -61 72 -9 21 -51 -86 -61 55 50 48 79 -70 6 -32 -29 -20 -43 97 -63 62 -76 -5 -57 -59 -11 76 -61 -68 15 7 -43 -64 48 -17 -71 -71 -22 -73 58 10 32 -13 -46 38 -21 53 -12 -88 13 -85 -61 72 -9 21 -51 -86 -61 55 50 48 79 -70 6 -32 -29 -20 -43 97 -63 62 -76 -5 -57 -59 -11 76
10011 50 23 -35 28 -46 2 93 60 -28 72 -72 -71 -41 -10 82 -76 -29 -62 94 29 51 53 38 -62 -86 -3 -25 -98 -86 -75 -31 94 -64 -83 -49 27 -92 -3 -5 -90 42 72 5 34 9 -67 -1 67 78 -91 47 -42 -35 28 -46 2 93 60 -28 72 -72 -71 -41 -10 82 -76 -29 -62 94 29 51 53 38 -62 -86 -3 -25 -98 -86 -75 -31 94 -64 -83 -49 27 -92 -3 -5 -90 42 72 5 34 9 -67 -1 67 78 -91 47 -42
10012 50 11 80 -1 -48 65 76 9 -78 16 84 76 -72 92 -90 -24 76 91 -96 -74 30 92 31 -57 -9 -56 54 -22 53 -73 96 35 69 -29 -74 58 -91 10 68 28 43 21 -50 -4 1 -12 91 -70 -90 26 32 -98 80 -1 -48 65 76 9 -78 16 84 76 -72 92 -90 -24 76 91 -96 -74 30 92 31 -57 -9 -56 54 -22 53 -73 96 35 69 -29 -74 58 -91 10 68 28 43 21 -50 -4 1 -12 91 -70 -90 26 32 -98
10013 50 29 -65 -46 -8 -36 60 -81 95 88 95 -45 56 83 -6 -17 91 41 80 -68 -26 69 90 -38 -83 -98 84 90 -96 87 -49 86 1 64 7 -87 -12 -14 79 -1 -13 68 -13 -67 7 39 -50 -96 14 -26 -100 -4 -65 -46 -8 -36 60 -81 95 88 95 -45 56 83 -6 -17 91 41 80 -68 -26 69 90 -38 -83 -98 84 90 -96 87 -49 86 1 64 7 -87 -12 -14 79 -1 -13 68 -13 -67 7 39 -50 -96 14 -26 -100 -4
10014 50 98 90 72 26 -38 -41 26 42 -30 96 -98 5 -80 10 -21 -87 17 -62 -26 81 75 58 55 -6 -27 -70 -6 33 83 -76 74 -32 60 55 -94 -41 69 -48 -63 -93 -55 33 5 -48 -70 -11 -75 76 -51 21 -3 90 72 26 -38 -41 26 42 -30 96 -98 5 -80 10 -21 -87 17 -62 -26 81 75 58 55 -6 -27 -70 -6 33 83 -76 74 -32 60 55 -94 -41 69 -48 -63 -93 -55 33 5 -48 -70 -11 -75 76 -51 21 -3
