10001 25 44 -15 2 -43 60 82 78 44 31 -96 -95 -89 69 -59 32 51 78 -51 -58 16 7 10 -49 55 -64 73 -15 2 -43 60 82 78 44 31 -96 -95 -89 69 -59 32 51 78 -51 -58 16 7 10 -49 55 -64 73
10002 25 34 -3 28 48 52 76 98 81 -31 -13 -15 -75 71 33 20 22 -25 -11 83 76 -43 48 42 -70 1 18 -3 28 48 52 76 98 81 -31 -13 -15 -75 71 33 20 22 -25 -11 83 76 -43 48 42 -70 1 18
10003 25 78 -45 -66 62 88 74 -53 64 38 -25 5 -75 90 -46 94 100 -68 49 91 -40 -100 77 -79 -45 -30 -96 -45 -66 62 88 74 -53 64 38 -25 5 -75 90 -46 94 100 -68 49 91 -40 -100 77 -79 -45 -30 -96
10004 25 45 -24 -73 -27 -29 48 78 -10 41 13 39 13 30 21 -59 -77 -26 70 -27 19 49 -57 -6 -12 80 62 -24 -73 -27 -29 48 78 -10 41 13 39 13 30 21 -59 -77 -26 70 -27 19 49 -57 -6 -12 80 62
10005 25 25 58 62 63 74 -53 -26 -4 -77 -67 -76 -53 47 -28 -48 30 -36 13 -55 96 -54 60 28 70 10 19 58 62 63 74 -53 -26 -4 -77 -67 -76 -53 47 -28 -48 30 -36 13 -55 96 -54 60 28 70 10 19
10006 25 14 9 36 21 -78 1 23 -17 -14 62 2 -17 52 24 19 3 73 64 -59 17 -19 40 -77 -33 -85 91 9 36 21 -78 1 23 -17 -14 62 2 -17 52 24 19 3 73 64 -59 17 -19 40 -77 -33 -85 91
10007 25 97 -100 -60 70 79 -69 -95 -80 -81 93 56 -32 43 -82 -6 -62 70 -80 -46 74 33 3 -78 63 -67 -93 -100 -60 70 79 -69 -95 -80 -81 93 56 -32 43 -82 -6 -62 70 -80 -46 74 33 3 -78 63 -67 -93
10008 25 75 72 -58 69 -7 -68 -99 -78 85 67 36 60 3 74 92 14 -78 9 50 -78 -29 86 -8 -91 44 18 72 -58 69 -7 -68 -99 -78 85 67 36 60 3 74 92 14 -78 9 50 -78 -29 86 -8 -91 44 18
10009 25 88 -81 82 59 -81 33 62 37 46 78 -27 -79 45 -98 9 46 -99 56 34 -75 22 60 -81 78 -78 48 -81 82 59 -81 33 62 37 46 78 -27 -79 45 -98 9 46 -99 56 34 -75 22 60 -81 78 -78 48
10010 25 58 -52 41 -76 58 -43 -33 -36 1 91 -37 74 72 -17 6 -64 -26 -32 -54 16 51 -26 -57 -76 -11 34 -52 41 -76 58 -43 -33 -36 1 91 -37 74 72 -17 6 -64 -26 -32 -54 16 51 -26 -57 -76 -11 34
10011 25 53 41 -86 -93 33 -77 -72 -94 18 84 -99 29 -11 94 -57 82 92 -53 -95 30 82 1 17 -83 53 -19 41 -86 -93 33 -77 -72 -94 18 84 -99 29 -11 94 -57 82 92 -53 -95 30 82 1 17 -83 53 -19
10012 25 42 35 67 25 -77 82 -64 89 74 4 54 -97 95 61 47 19 65 67 -11 18 86 -61 3 -91 46 -77 35 67 25 -77 82 -64 89 74 4 54 -97 95 61 47 19 65 67 -11 18 86 -61 3 -91 46 -77
10013 25 4 -11 -66 -61 61 37 -25 80 81 59 47 41 -52 30 59 74 54 -64 -71 82 79 -69 -89 -43 -10 -71 -11 -66 -61 61 37 -25 80 81 59 47 41 -52 30 59 74 54 -64 -71 82 79 -69 -89 -43 -10 -71
10014 25 89 60 58 -45 88 -79 -98 22 60 -26 -24 -57 -35 -64 -91 -70 96 -71 26 -18 -35 54 53 -33 89 -96 60 58 -45 88 -79 -98 22 60 -26 -24 -57 -35 -64 -91 -70 96 -71 26 -18 -35 54 53 -33 89 -96
10015 25 83 -16 43 -19 -76 -52 -84 -10 -86 73 -90 67 10 -79 30 -64 -57 72 58 -100 5 77 -100 43 55 20 -16 43 -19 -76 -52 -84 -10 -86 73 -90 67 10 -79 30 -64 -57 72 58 -100 5 77 -100 43 55 20
10016 25 47 10 -14 -41 -1 94 -78 -74 -8 71 -29 4 53 90 -66 44 -3 -14 12 35 96 -3 34 -26 -16 71 10 -14 -41 -1 94 -78 -74 -8 71 -29 4 53 90 -66 44 -3 -14 12 35 96 -3 34 -26 -16 71
10017 25 95 19 -53 -5 -87 -58 14 -92 -86 -21 42 62 -57 -8 64 84 88 -69 51 96 -7 12 -76 -48 32 17 19 -53 -5 -87 -58 14 -92 -86 -21 42 62 -57 -8 64 84 88 -69 51 96 -7 12 -76 -48 32 17
10018 25 46 -53 27 94 -87 -56 -55 -5 -96 30 66 -11 -14 -8 87 -88 -69 36 74 53 13 -94 30 -3 -98 -49 -53 27 94 -87 -56 -55 -5 -96 30 66 -11 -14 -8 87 -88 -69 36 74 53 13 -94 30 -3 -98 -49
10019 25 14 30 -59 -98 -94 66 -1 28 -52 -88 17 35 -7 -25 -4 13 -68 81 -23 -38 30 60 19 -52 26 -61 30 -59 -98 -94 66 -1 28 -52 -88 17 35 -7 -25 -4 13 -68 81 -23 -38 30 60 19 -52 26 -61
10020 25 59 -42 99 -18 47 76 -58 88 -6 52 62 85 97 36 -45 18 58 83 43 35 43 -83 -84 41 52 -25 -42 99 -18 47 76 -58 88 -6 52 62 85 97 36 -45 18 58 83 43 35 43 -83 -84 41 52 -25
