10001 10 26 -1 70 -69 -71 46 -24 53 87 48 11 -1 70 -69 -71 46 -24 53 87 48 11
10002 10 20 31 85 -57 13 94 -8 -82 7 36 28 31 85 -57 13 94 -8 -82 7 36 28
10003 10 73 -60 -14 81 -29 89 -92 -20 -84 32 -5 -60 -14 81 -29 89 -92 -20 -84 32 -5
10004 10 69 5 -49 -41 31 95 15 -34 -60 62 -36 5 -49 -41 31 95 15 -34 -60 62 -36
10005 10 18 63 -44 36 -35 -65 22 62 1 98 -59 63 -44 36 -35 -65 22 62 1 98 -59
10006 10 55 33 36 99 -68 -42 -39 -63 82 18 50 33 36 99 -68 -42 -39 -63 82 18 50
10007 10 66 -28 -16 -30 -86 30 61 -55 -21 -77 75 -28 -16 -30 -86 30 61 -55 -21 -77 75
10008 10 56 -57 -73 69 58 -87 7 40 -34 87 -23 -57 -73 69 58 -87 7 40 -34 87 -23
10009 10 62 37 -40 57 46 -74 45 84 64 -28 -55 37 -40 57 46 -74 45 84 64 -28 -55
10010 10 11 -44 -75 -56 65 -79 -61 -36 64 -21 -32 -44 -75 -56 65 -79 -61 -36 64 -21 -32
10011 10 53 65 -73 -67 46 -23 74 70 -92 85 -28 65 -73 -67 46 -23 74 70 -92 85 -28
10012 10 81 52 -45 -49 80 -90 48 -19 93 47 18 52 -45 -49 80 -90 48 -19 93 47 18
10013 10 5 97 24 68 3 4 -80 -45 73 83 -61 97 24 68 3 4 -80 -45 73 83 -61
10014 10 49 46 49 -10 24 -68 -10 -75 -59 78 -57 46 49 -10 24 -68 -10 -75 -59 78 -57
10015 10 100 -6 76 38 -61 -84 -54 17 58 -36 -9 -6 76 38 -61 -84 -54 17 58 -36 -9
10016 10 33 -32 35 63 -67 -50 -79 -63 -35 -42 -13 -32 35 63 -67 -50 -79 -63 -35 -42 -13
10017 10 77 53 -40 57 -72 -52 -59 78 82 39 11 53 -40 57 -72 -52 -59 78 82 39 11
10018 10 21 -73 -10 87 92 -34 -50 -87 25 -58 -13 -73 -10 87 92 -34 -50 -87 25 -58 -13
10019 10 4 -97 -22 -12 24 -16 36 -10 -46 -42 -70 -97 -22 -12 24 -16 36 -10 -46 -42 -70
10020 10 75 -91 -36 -56 20 43 -35 70 2 -49 60 -91 -36 -56 20 43 -35 70 2 -49 60
