10001 30 85 27 -21 95 44 35 -20 -5 48 90 -8 -44 -69 57 -48 -4 -97 -77 49 43 -81 99 -47 85 7 -37 50 36 1 90 -66 27 -21 95 44 35 -20 -5 48 90 -8 -44 -69 57 -48 -4 -97 -77 49 43 -81 99 -47 85 7 -37 50 36 1 90 -66
10002 30 23 40 26 29 67 30 66 -9 57 -28 -13 -22 -50 -85 -64 48 67 -17 2 100 -11 -7 -90 -95 81 -4 13 -74 64 90 2 40 26 29 67 30 66 -9 57 -28 -13 -22 -50 -85 -64 48 67 -17 2 100 -11 -7 -90 -95 81 -4 13 -74 64 90 2
10003 30 24 -35 28 -79 -7 8 28 -52 55 -70 1 38 -68 -67 -67 -6 -89 75 64 -44 76 -63 -89 -18 65 -51 67 -33 42 -84 -5 -35 28 -79 -7 8 28 -52 55 -70 1 38 -68 -67 -67 -6 -89 75 64 -44 76 -63 -89 -18 65 -51 67 -33 42 -84 -5
10004 30 46 -4 65 -9 32 -20 52 -80 -83 51 69 100 -63 -24 90 -16 2 -58 94 -37 -47 30 8 95 -50 58 39 78 96 14 -33 -4 65 -9 32 -20 52 -80 -83 51 69 100 -63 -24 90 -16 2 -58 94 -37 -47 30 8 95 -50 58 39 78 96 14 -33
10005 30 92 77 -6 10 36 -98 92 -9 -69 92 41 15 -15 96 -62 -26 77 6 43 38 -30 -53 -82 84 -65 -73 25 -80 -47 -69 76 77 -6 10 36 -98 92 -9 -69 92 41 15 -15 96 -62 -26 77 6 43 38 -30 -53 -82 84 -65 -73 25 -80 -47 -69 76
10006 30 57 82 14 77 41 -96 -83 -67 30 62 6 -91 -49 -67 -28 -27 47 -82 -38 -97 -93 -95 -24 54 -11 76 4 5 -85 95 82 82 14 77 41 -96 -83 -67 30 62 6 -91 -49 -67 -28 -27 47 -82 -38 -97 -93 -95 -24 54 -11 76 4 5 -85 95 82
10007 30 56 7 93 -29 55 12 46 19 -17 -5 -22 -52 43 9 100 -8 48 -77 68 73 85 -19 -25 -72 -62 -86 -17 -8 63 -61 12 7 93 -29 55 12 46 19 -17 -5 -22 -52 43 9 100 -8 48 -77 68 73 85 -19 -25 -72 -62 -86 -17 -8 63 -61 12
10008 30 91 -100 84 21 -71 1 27 -42 41 -20 73 -84 -94 25 31 82 -92 91 17 -27 15 52 -36 -80 -61 -15 8 8 -5 82 -66 -100 84 21 -71 1 27 -42 41 -20 73 -84 -94 25 31 82 -92 91 17 -27 15 52 -36 -80 -61 -15 8 8 -5 82 -66
10009 30 97 88 -38 -76 -9 -95 87 4 53 78 -10 45 72 -88 42 -12 8 -78 26 -47 19 53 -3 39 67 -25 -71 -33 -82 -95 67 88 -38 -76 -9 -95 87 4 53 78 -10 45 72 -88 42 -12 8 -78 26 -47 19 53 -3 39 67 -25 -71 -33 -82 -95 67
10010 30 88 -82 -17 -73 74 68 51 -32 27 -75 -51 47 -76 92 -26 -54 -17 84 85 50 86 -6 -68 -43 85 -73 32 -98 -64 -14 57 -82 -17 -73 74 68 51 -32 27 -75 -51 47 -76 92 -26 -54 -17 84 85 50 86 -6 -68 -43 85 -73 32 -98 -64 -14 57
