10001 20 64 -91 31 -23 -52 66 -18 -4 13 -75 -78 61 -90 -73 39 18 48 -50 71 -61 -73 -91 31 -23 -52 66 -18 -4 13 -75 -78 61 -90 -73 39 18 48 -50 71 -61 -73
10002 20 46 -58 -58 -48 -55 -35 76 -50 -81 28 28 -64 -9 -2 -97 -21 35 94 1 83 62 -58 -58 -48 -55 -35 76 -50 -81 28 28 -64 -9 -2 -97 -21 35 94 1 83 62
10003 20 45 33 95 -44 -93 11 92 79 7 63 51 69 -80 97 -93 52 -3 -63 23 9 40 33 95 -44 -93 11 92 79 7 63 51 69 -80 97 -93 52 -3 -63 23 9 40
10004 20 1 59 14 50 -55 43 92 -95 70 -49 31 92 -75 4 -52 -13 -36 -28 9 -100 9 59 14 50 -55 43 92 -95 70 -49 31 92 -75 4 -52 -13 -36 -28 9 -100 9
10005 20 41 -73 55 -11 -19 -73 11 26 -38 85 18 31 84 -39 46 -82 39 -34 -30 57 30 -73 55 -11 -19 -73 11 26 -38 85 18 31 84 -39 46 -82 39 -34 -30 57 30
10006 20 62 -56 -44 92 42 -77 -26 -91 -38 84 81 -76 35 42 89 -24 -74 77 42 41 94 -56 -44 92 42 -77 -26 -91 -38 84 81 -76 35 42 89 -24 -74 77 42 41 94
10007 20 26 59 76 -28 17 -24 -88 2 -38 -3 99 -6 25 -42 25 62 9 10 -93 -9 100 59 76 -28 17 -24 -88 2 -38 -3 99 -6 25 -42 25 62 9 10 -93 -9 100
10008 20 22 60 -86 -61 -33 87 64 55 -95 -59 88 29 -25 -62 23 -71 35 35 86 -17 13 60 -86 -61 -33 87 64 55 -95 -59 88 29 -25 -62 23 -71 35 35 86 -17 13
10009 20 58 -18 21 -23 -41 -4 38 -89 12 -83 -82 95 -21 -3 -37 73 12 12 33 33 27 -18 21 -23 -41 -4 38 -89 12 -83 -82 95 -21 -3 -37 73 12 12 33 33 27
10010 20 17 -29 93 -24 -40 57 87 11 -28 -44 -4 -69 -41 -72 69 50 34 77 64 98 89 -29 93 -24 -40 57 87 11 -28 -44 -4 -69 -41 -72 69 50 34 77 64 98 89
10011 20 90 -58 94 63 47 -57 -8 -89 88 75 76 -40 2 32 -75 23 47 69 71 23 35 -58 94 63 47 -57 -8 -89 88 75 76 -40 2 32 -75 23 47 69 71 23 35
10012 20 21 -76 1 24 -21 20 26 42 -80 -66 -55 66 -37 78 8 95 -97 49 94 -1 35 -76 1 24 -21 20 26 42 -80 -66 -55 66 -37 78 8 95 -97 49 94 -1 35
10013 20 67 1 27 -58 -89 -76 -82 99 48 98 70 -42 47 35 24 -33 -18 -66 87 -62 -58 1 27 -58 -89 -76 -82 99 48 98 70 -42 47 35 24 -33 -18 -66 87 -62 -58
10014 20 33 -16 -8 33 -41 -8 6 -56 35 -86 92 -8 42 9 1 1 89 -98 -60 99 -48 -16 -8 33 -41 -8 6 -56 35 -86 92 -8 42 9 1 1 89 -98 -60 99 -48
10015 20 16 87 36 -5 89 -40 26 -49 99 75 38 -50 8 17 57 -24 10 52 -60 32 -16 87 36 -5 89 -40 26 -49 99 75 38 -50 8 17 57 -24 10 52 -60 32 -16
10016 20 82 33 33 -76 -51 -6 -96 23 -78 -48 -73 24 -61 -77 50 -25 89 -67 80 78 -67 33 33 -76 -51 -6 -96 23 -78 -48 -73 24 -61 -77 50 -25 89 -67 80 78 -67
10017 20 64 -11 -7 28 87 85 -69 7 92 -10 -86 -14 10 -68 69 31 15 53 -40 86 68 -11 -7 28 87 85 -69 7 92 -10 -86 -14 10 -68 69 31 15 53 -40 86 68
10018 20 87 47 85 80 22 -17 29 -99 37 -8 57 -46 -89 -22 -31 -22 -92 -82 16 19 98 47 85 80 22 -17 29 -99 37 -8 57 -46 -89 -22 -31 -22 -92 -82 16 19 98
10019 20 72 62 -32 61 38 68 -28 68 -63 -10 -86 55 30 -72 52 -55 18 -85 99 -85 -51 62 -32 61 38 68 -28 68 -63 -10 -86 55 30 -72 52 -55 18 -85 99 -85 -51
10020 20 26 63 -16 -99 100 34 4 10 -13 7 -39 45 -43 -23 -95 -34 58 19 91 12 -51 63 -16 -99 100 34 4 10 -13 7 -39 45 -43 -23 -95 -34 58 19 91 12 -51
