10001 15 43 -7 -83 58 35 28 -12 1 -61 -15 -62 -62 -40 -96 -43 45 -7 -83 58 35 28 -12 1 -61 -15 -62 -62 -40 -96 -43 45
10002 15 64 -64 4 -46 87 55 9 -13 86 -62 -27 -24 51 92 60 29 -64 4 -46 87 55 9 -13 86 -62 -27 -24 51 92 60 29
10003 15 87 10 5 64 61 -95 -99 94 24 -71 83 -56 99 -55 -77 64 10 5 64 61 -95 -99 94 24 -71 83 -56 99 -55 -77 64
10004 15 60 -13 -35 63 46 -6 68 -84 77 -23 92 62 -49 100 -66 -60 -13 -35 63 46 -6 68 -84 77 -23 92 62 -49 100 -66 -60
10005 15 37 -98 -18 50 1 -65 5 23 26 -84 3 -41 61 41 84 24 -98 -18 50 1 -65 5 23 26 -84 3 -41 61 41 84 24
10006 15 6 -82 23 28 74 -98 -17 -43 -4 20 -56 -51 26 80 65 -33 -82 23 28 74 -98 -17 -43 -4 20 -56 -51 26 80 65 -33
10007 15 41 -48 -87 24 -44 75 -81 94 71 -94 -16 88 66 -13 -30 25 -48 -87 24 -44 75 -81 94 71 -94 -16 88 66 -13 -30 25
10008 15 39 5 92 -8 -42 75 -18 -79 -22 -39 -2 30 -75 -5 -16 -27 5 92 -8 -42 75 -18 -79 -22 -39 -2 30 -75 -5 -16 -27
10009 15 94 -5 -80 -11 -72 -29 -49 85 90 -55 36 18 56 21 -71 18 -5 -80 -11 -72 -29 -49 85 90 -55 36 18 56 21 -71 18
10010 15 93 65 -81 -91 -26 -7 -82 -20 83 2 -92 30 95 77 -78 -37 65 -81 -91 -26 -7 -82 -20 83 2 -92 30 95 77 -78 -37
10011 15 58 -70 -1 -62 74 -29 68 -61 -22 -95 -96 52 46 -15 -53 100 -70 -1 -62 74 -29 68 -61 -22 -95 -96 52 46 -15 -53 100
10012 15 67 18 -64 -93 -90 48 29 -14 57 -42 -24 -60 51 -25 4 23 18 -64 -93 -90 48 29 -14 57 -42 -24 -60 51 -25 4 23
10013 15 56 41 -98 -23 -58 99 10 89 -28 -41 -71 12 -53 -16 -66 1 41 -98 -23 -58 99 10 89 -28 -41 -71 12 -53 -16 -66 1
10014 15 94 55 -69 28 -70 -60 -94 15 -31 -7 -31 36 78 -73 -35 -23 55 -69 28 -70 -60 -94 15 -31 -7 -31 36 78 -73 -35 -23
10015 15 54 81 94 -33 73 -13 -6 -37 22 81 -43 16 7 -12 95 57 81 94 -33 73 -13 -6 -37 22 81 -43 16 7 -12 95 57
10016 15 13 -55 91 -74 -32 93 13 83 -37 -50 7 92 79 57 53 5 -55 91 -74 -32 93 13 83 -37 -50 7 92 79 57 53 5
10017 15 79 -39 -39 -30 -23 -57 -52 -12 52 10 32 20 60 90 -12 18 -39 -39 -30 -23 -57 -52 -12 52 10 32 20 60 90 -12 18
10018 15 74 89 54 90 30 58 28 -91 -56 -9 -39 22 39 -55 -61 -84 89 54 90 30 58 28 -91 -56 -9 -39 22 39 -55 -61 -84
10019 15 24 -40 81 10 63 -12 34 -58 61 13 96 17 33 93 9 27 -40 81 10 63 -12 34 -58 61 13 96 17 33 93 9 27
10020 15 50 4 60 48 -87 -56 -11 1 13 81 1 -7 12 84 -52 -69 4 60 48 -87 -56 -11 1 13 81 1 -7 12 84 -52 -69
